"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000902","cell morphogenesis",338,0.381765568144799,1.39764416353668,7.29438803645544e-06,0.00585301696045185,0.00488032951154851,2159,"tags=50%, list=37%, signal=33%","6696/3575/6383/6285/2316/6654/23022/26037/3708/2033/22902/5168/51092/960/2803/120892/214/87/121512/285527/51199/55785/23405/54764/57498/23345/9202/6714/4891/1729/3688/4343/80208/54014/8546/23433/23499/3676/23077/9693/659/5339/23136/752/10269/7171/5027/8826/7428/7155/23122/5532/10672/2768/8650/538/7337/9334/114793/9204/55023/5781/55619/5978/604/203228/5306/9043/10154/4067/2011/85440/84879/9113/63925/27020/113251/8239/58480/7422/11252/10006/23181/23032/7779/4659/3984/6093/55364/1291/1432/2355/3799/6357/6347/170506/11078/25942/23603/10427/57609/1739/9733/1982/64218/9181/23607/4289/25932/6498/25946/8452/55660/6794/1398/26524/2185/3071/5728/673/9344/51347/6507/5777/6259/7204/81565/351/6868/4853/2932/93663/1523/4649/4478/5921/27067/8301/1785/4851/8828/6277/4627/8994/1857/4650/5591/4218/2242/57142/56990/50618/54434/6239/10890/6049/5062/23129/1385/8543/4204/51177/91010/150465/23394/23191/1499/9706","BP","Up",3
"GO:0000976","transcription cis-regulatory region binding",356,0.372037543984947,1.36185125664174,2.16419821716528e-05,0.00178907052618996,0.00141495532560864,2512,"tags=58%, list=43%, signal=36%","10409/571/4084/10062/8848/6772/3091/23269/2002/6304/904/7700/6615/163049/22936/6720/9575/4779/2186/22797/6773/5465/153222/6775/9975/6872/8204/51621/79718/5927/23064/6776/22809/6934/7586/7702/6597/9839/5978/604/4783/4335/7764/8554/7150/22890/11176/126626/1871/9189/6774/7707/63925/10725/8553/10499/64412/51043/7544/7799/4261/2117/2957/9988/3659/7227/200424/22926/2551/988/23300/7678/55749/26523/2355/8535/4097/6659/29117/6778/5966/23528/1660/170506/84159/7975/80264/6938/5451/7343/51742/6670/5814/7690/6721/7581/9516/6925/64324/6498/2120/253461/23099/4520/2308/6777/59269/339123/1386/1390/196/65986/5467/22803/639/10127/9967/81/54700/10308/351/4853/4090/1523/861/1112/4087/7403/7597/10498/5325/7520/9658/2034/4851/4799/112939/122953/3191/6294/4790/23512/2005/5887/4209/8863/3068/3096/4286/84146/1960/3516/10664/51157/6239/4780/8013/9960/3607/1385/6595/1106/7030/1788/22887/8648/23394/10488/5089/6421/10865/7024/1107/3665/22823/8531/2908/5813/5469/79027/144348/1997/374655/10320/3661/1050/9208/1025/7019/57659/11179/23411/25976/5971/140467/5934/7644/4791/6907/8178/57801/10919/2547/54816/51341/4094/2313","MF","Up",20
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",300,0.363629324872071,1.32255707816913,0.000187049651419577,0.00323347903084884,0.00255732141800298,3142,"tags=70%, list=53%, signal=35%","571/4084/10062/8848/6772/3091/23269/2002/6304/7700/6615/163049/6720/9575/4779/2186/22797/6773/5465/153222/6775/9975/6872/8204/51621/6776/22809/6934/7586/7702/9839/5978/604/4783/4335/7764/7150/22890/1871/9189/6774/7707/63925/10725/8553/10499/64412/51043/7544/7799/2117/2957/9988/3659/7227/200424/22926/2551/988/7678/55749/2355/4097/6659/6778/5966/23528/1660/170506/7975/80264/6938/5451/6670/5814/7690/6721/7581/9516/6925/64324/6498/2120/253461/23099/4520/2308/6777/59269/1386/1390/196/65986/5467/639/10127/9967/81/10308/351/4090/1523/861/4087/7403/7597/5325/9658/2034/4799/112939/122953/6294/4790/23512/2005/5887/4209/3068/3096/4286/84146/1960/3516/10664/51157/6239/4780/8013/9960/3607/1385/1106/7030/1788/22887/8648/23394/10488/5089/7024/3665/22823/8531/2908/5813/5469/79027/144348/1997/374655/10320/3661/1050/9208/1025/57659/11179/23411/5971/140467/5934/7644/4791/57801/10919/54816/51341/4094/2313/2309/26959/55422/7071/23435/6667/7705/51274/8462/10538/56987/4089/112950/9586/10923/6256/4773/5970/3727/23135/3192/23558/7342/4610/54989/4205/2101/1628/7528/55810/6497/8609/7572/10856/2023/864/22877/7587/4929/3159","MF","Up",20
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",275,0.365017996507617,1.32376243337404,0.000403287909862777,0.00600092409875812,0.00474606192870089,2519,"tags=57%, list=43%, signal=34%","571/4084/10062/8848/6772/22850/6018/3091/23269/2002/6304/7700/6615/23036/163049/6720/9575/4779/22797/6773/5465/153222/6775/9975/51621/6776/22809/6934/7586/26036/7702/9839/5978/604/4783/4335/7764/58487/5359/22890/1871/9189/6774/7707/10725/8553/3090/64412/22834/51043/7544/7799/2117/9988/3659/7227/22926/2551/988/23300/7678/2355/4097/6659/6778/5966/23528/7975/80264/6938/11057/5451/6670/5814/7690/6721/7581/9516/6925/6498/2120/253461/23099/4520/2308/126208/6777/59269/1386/1390/196/65986/5467/639/10127/10308/4853/4090/1523/861/1998/1112/4087/7597/5325/9658/2034/4851/4799/112939/122953/4790/2005/1389/4209/3068/3096/4286/84146/1960/3516/10664/3142/51157/6239/4780/8013/3607/1385/2969/7030/22887/23394/10488/5089/7024/3665/2908/5813/79027/144348/1997/3661/1050/2077/9208/57659/85315/5971/7644/4791/57801/54816/51341/4094/2313/60436","MF","Up",20
"GO:0001067","transcription regulatory region nucleic acid binding",356,0.372037543984947,1.36185125664174,2.16419821716528e-05,0.00178907052618996,0.00141495532560864,2512,"tags=58%, list=43%, signal=36%","10409/571/4084/10062/8848/6772/3091/23269/2002/6304/904/7700/6615/163049/22936/6720/9575/4779/2186/22797/6773/5465/153222/6775/9975/6872/8204/51621/79718/5927/23064/6776/22809/6934/7586/7702/6597/9839/5978/604/4783/4335/7764/8554/7150/22890/11176/126626/1871/9189/6774/7707/63925/10725/8553/10499/64412/51043/7544/7799/4261/2117/2957/9988/3659/7227/200424/22926/2551/988/23300/7678/55749/26523/2355/8535/4097/6659/29117/6778/5966/23528/1660/170506/84159/7975/80264/6938/5451/7343/51742/6670/5814/7690/6721/7581/9516/6925/64324/6498/2120/253461/23099/4520/2308/6777/59269/339123/1386/1390/196/65986/5467/22803/639/10127/9967/81/54700/10308/351/4853/4090/1523/861/1112/4087/7403/7597/10498/5325/7520/9658/2034/4851/4799/112939/122953/3191/6294/4790/23512/2005/5887/4209/8863/3068/3096/4286/84146/1960/3516/10664/51157/6239/4780/8013/9960/3607/1385/6595/1106/7030/1788/22887/8648/23394/10488/5089/6421/10865/7024/1107/3665/22823/8531/2908/5813/5469/79027/144348/1997/374655/10320/3661/1050/9208/1025/7019/57659/11179/23411/25976/5971/140467/5934/7644/4791/6907/8178/57801/10919/2547/54816/51341/4094/2313","MF","Up",20
"GO:0001727","lipid kinase activity",21,0.641085517520337,1.84553822873734,0.000250042587874548,0.00394810026761309,0.00312250714430633,1737,"tags=86%, list=29%, signal=61%","5290/8877/200576/5295/8503/5291/5289/55300/5305/5294/5286/472/253430/8396/55361/64781/23396/5298","MF","Up",23
"GO:0002218","activation of innate immune response",179,0.398916177959958,1.42404021074164,0.000107729917251396,0.0143803116002344,0.0119905101184722,2586,"tags=61%, list=44%, signal=36%","6279/115362/2219/6280/83737/10062/2033/8473/51311/64135/118788/2634/6714/11213/84243/26057/8767/8546/54726/23180/57590/3329/3320/22841/29126/5027/1540/25921/5295/1452/55601/9698/121260/57169/8780/8887/4067/9867/9113/29110/51296/3659/6197/497189/29979/81926/25942/10924/9258/4671/92610/10432/331/7096/3654/23369/26524/26060/330/9958/55666/351/146722/8915/7099/4332/7100/26253/64581/7520/144811/1520/27246/79155/56829/7097/5591/4669/57142/388325/140609/5062/7187/10318/3551/84868/6421/3920/3665/3428/51304/5610/3304/4034/1654/3661/5058/56927/4615/11277/51284/2547/5170/5538/9782/329/81622/51428/8878/5336","BP","Up",2
"GO:0002253","activation of immune response",300,0.371546364592605,1.35442902827392,4.46202127682067e-05,0.0108431126767046,0.00904114290984081,2563,"tags=57%, list=43%, signal=34%","6279/115362/2633/2357/2219/6280/6654/5788/83737/10062/2033/8473/51311/64135/118788/89857/5290/5142/2634/3075/971/868/6714/23304/5579/11213/84243/26057/8767/8546/54726/23180/57590/3329/3320/22841/29126/150372/5027/1540/25921/5295/1604/1452/55601/4179/1378/9698/121260/10384/57169/8780/8887/4067/717/9867/5359/9113/29110/51296/3659/952/10385/10451/3984/149041/6197/497189/2355/29979/81926/973/23228/25942/1845/10924/1240/9258/65125/4671/92610/10432/710/23607/331/7096/100/6794/3654/23369/26524/26060/3071/330/673/23308/5777/9958/55666/351/146722/8915/7099/64005/4332/7100/11118/719/54542/26253/64581/11006/7520/728/163486/144811/7917/1520/80381/27246/79155/56829/961/7097/5591/11119/4669/4790/57142/3937/10603/388325/140609/8013/5199/5062/7187/2885/5144/10318/3551/84868/5771/6421/3920/3665/5621/3428/51304/5610/1997/10657/3304/4034/1654/3661/5663/5058/56927/4615/11277/3105/51284/2547/5170/5538/9782/329/8525/81622/51428/8878","BP","Up",2
"GO:0002285","lymphocyte activation involved in immune response",119,0.433175576191349,1.51298771066012,0.000143972156180359,0.0169887144292824,0.0141654338186124,1637,"tags=46%, list=28%, signal=34%","6556/3718/3683/4818/5788/10859/2033/2214/55183/3936/942/8767/3329/6775/5295/6776/538/4064/7037/4179/1378/121260/55619/604/201294/3566/6774/3134/3716/29110/51043/6482/4683/149041/5734/165918/6778/23228/3570/4297/64218/100/2185/3071/4976/3572/6830/139818/23308/602/5130/4853/7099/54542/26253","BP","Up",6
"GO:0002399","MHC class II protein complex assembly",13,-0.612712289722916,-2.3888037585905,5.00283443398719e-05,0.0108431126767046,0.00904114290984081,503,"tags=62%, list=9%, signal=56%","3127/3113/3118/3117/3115/3108/3120/3123","BP","Down",4
